method_id,project,file_path,startline,endline,method_loc,method_name,method_source,srp_score_llm,srp_label_llm,srp_confidence_llm,srp_notes_llm,ocp_score_llm,ocp_label_llm,ocp_confidence_llm,ocp_notes_llm,dip_score_llm,dip_label_llm,dip_confidence_llm,dip_notes_llm,overall_solid_score,overall_flags
systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/FieldErrorTagTest.java:116-138,struts,systems/Projects/struts-main/core/src/test/java/org/apache/struts2/views/jsp/ui/FieldErrorTagTest.java,116,138,23,testFieldErrorsEscape,"public void testFieldErrorsEscape () throws Exception {
    FieldErrorTag tag = new FieldErrorTag ();
    TestAction testAction = new TestAction ();
    testAction.addFieldError (""f"", ""<p>hey</p>"");
    stack.pop ();
    stack.push (testAction);
    tag.setEscape (true);
    tag.setPageContext (pageContext);
    tag.doStartTag ();
    tag.doEndTag ();
    assertEquals (normalize (""<ul class=\""errorMessage\""><li><span>&lt;p&gt;hey&lt;/p&gt;</span></li></ul>"", true), normalize (writer.toString (), true));
    FieldErrorTag freshTag = new FieldErrorTag ();
    freshTag.setPageContext (pageContext);
    assertTrue (""Tag state after doEndTag() under default tag clear state is inequal to new Tag with pageContext/parent set.  "" + ""May indicate that clearTagStateForTagPoolingServers() calls are not working properly."", strutsBodyTagsAreReflectionEqual (tag, freshTag));
}",1,Partial,0.62,"Method mixes two test concerns (escaping output and post-lifecycle state equality). As a test method this may be acceptable, but cohesion depends on test suite conventions.",2,Compliant,0.78,Method does not encode extensibility variants via branching or policy constants; changes would likely be in collaborators or expected strings rather than adding branches here.,1,Partial,0.55,"In a test method, direct instantiation is common; however, without broader context it's unclear whether these are replaceable collaborators or simple test fixtures.",4,needs_more_context
systems/Projects/selenium-trunk/java/src/org/openqa/selenium/docker/v1_41/PullImage.java:45-79,selenium,systems/Projects/selenium-trunk/java/src/org/openqa/selenium/docker/v1_41/PullImage.java,45,79,35,apply,"public void apply (Reference ref) {
    Require.nonNull (""Reference to pull"", ref);
    LOG.info (""Pulling "" + ref);
    String image = String.format (""%s/%s"", ref.getDomain (), ref.getName ());
    HttpRequest req = new HttpRequest (POST, String.format (""/v%s/images/create"", DOCKER_API_VERSION)).addHeader (""Content-Type"", JSON_UTF_8).addQueryParameter (""fromImage"", image).addQueryParameter (""platform"", ref.getPlatform ());
    if (ref.getDigest () != null) {
        req.addQueryParameter (""tag"", ref.getDigest ());
    }
    else if (ref.getTag () != null) {
        req.addQueryParameter (""tag"", ref.getTag ());
    }
    HttpResponse res = client.execute (req);
    LOG.info (""Have response from server"");
    if (! res.isSuccessful ()) {
        String message = ""Unable to pull image: "" + ref.getFamiliarName ();
        try {
            Map < String, Object > value = JSON.toType (Contents.string (res), MAP_TYPE);
            message = (String) value.get (""message"");
        } catch (Exception e) {
        }
        throw new DockerException (message);
    }
}",0,Violated,0.75,,1,Partial,0.55,needs_more_context,1,Partial,0.6,needs_more_context,2,needs_more_context
systems/Projects/SolidLeaning/fitnesse/src/util/StreamReader.java:110-112,fitnesse,systems/Projects/SolidLeaning/fitnesse/src/util/StreamReader.java,110,112,3,getBufferedBytes,"public byte [] getBufferedBytes () {
    return byteBuffer.toByteArray ();
}",2,Compliant,0.9,,2,Compliant,0.85,,2,Compliant,0.75,,6,
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/bidi/log/LogInspectorTest.java:106-126,selenium,systems/Projects/selenium-trunk/java/test/org/openqa/selenium/bidi/log/LogInspectorTest.java,106,126,21,canListenToJavascriptLog,"void canListenToJavascriptLog () throws ExecutionException, InterruptedException, TimeoutException {
    try (LogInspector logInspector = new LogInspector (driver)) {
        CompletableFuture < JavascriptLogEntry > future = new CompletableFuture < > ();
        logInspector.onJavaScriptLog (future :: complete);
        page = appServer.whereIs (""/bidi/logEntryAdded.html"");
        driver.get (page);
        driver.findElement (By.id (""jsException"")).click ();
        JavascriptLogEntry logEntry = future.get (5, TimeUnit.SECONDS);
        Source source = logEntry.getSource ();
        assertThat (source.getBrowsingContext ().isPresent ()).isTrue ();
        assertThat (source.getRealm ()).isNotNull ();
        assertThat (logEntry.getText ()).isEqualTo (""Error: Not working"");
        assertThat (logEntry.getType ()).isEqualTo (""javascript"");
        assertThat (logEntry.getLevel ()).isEqualTo (LogLevel.ERROR);
    }
}",0,Violated,0.75,"Method mixes setup, driving the system under test, waiting for async result, and verifying multiple properties.",1,Partial,0.55,"No variant-encoding branch chains; however, several hard-coded expectations/timeouts suggest changes would modify this method. needs_more_context",0,Violated,0.7,"Creating CompletableFuture is typically fine, but directly constructing LogInspector in-method indicates tight coupling to a concrete type.",1,needs_more_context
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/action/What.java:66-99,jmeter,systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/action/What.java,66,99,34,doAction,"public void doAction (ActionEvent e) throws IllegalUserActionException {
    JMeterTreeNode node = GuiPackage.getInstance ().getTreeListener ().getCurrentNode ();
    TestElement te = (TestElement) node.getUserObject ();
    if (ActionNames.WHAT_CLASS.equals (e.getActionCommand ())) {
        String guiClassName = te.getPropertyAsString (TestElement.GUI_CLASS);
        System.out.println (te.getClass ().getName ());
        System.out.println (guiClassName);
        if (log.isInfoEnabled ()) {
            log.info (""TestElement: {}, guiClassName: {}"", te.getClass (), guiClassName);
        }
    }
    else if (ActionNames.DEBUG_ON.equals (e.getActionCommand ())) {
        final String loggerName = te.getClass ().getName ();
        Configurator.setAllLevels (loggerName, Level.DEBUG);
        log.info (""Log level set to DEBUG for {}"", loggerName);
    }
    else if (ActionNames.DEBUG_OFF.equals (e.getActionCommand ())) {
        final String loggerName = te.getClass ().getName ();
        Configurator.setAllLevels (loggerName, Level.INFO);
        log.info (""Log level set to INFO for {}"", loggerName);
    }
    else if (ActionNames.HEAP_DUMP.equals (e.getActionCommand ())) {
        try {
            String s = HeapDumper.dumpHeap ();
            JOptionPane.showMessageDialog (null, ""Created "" + s, ""HeapDump"", JOptionPane.INFORMATION_MESSAGE);
        } catch (Exception ex) {
            JOptionPane.showMessageDialog (null, ex.toString (), ""HeapDump"", JOptionPane.ERROR_MESSAGE);
        }
    }
    else if (ActionNames.THREAD_DUMP.equals (e.getActionCommand ())) {
        try {
            String s = ThreadDumper.threadDump ();
            JOptionPane.showMessageDialog (null, ""Created "" + s, ""ThreadDump"", JOptionPane.INFORMATION_MESSAGE);
        } catch (Exception ex) {
            JOptionPane.showMessageDialog (null, ex.toString (), ""ThreadDump"", JOptionPane.ERROR_MESSAGE);
        }
    }
}",0,Violated,0.85,,0,Violated,0.8,,0,Violated,0.75,,0,
systems/Projects/commons-lang-master/src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java:318-320,commons-lang,systems/Projects/commons-lang-master/src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,318,320,3,testRemoveAllDoubleArrayOutOfBoundsIndex,"public void testRemoveAllDoubleArrayOutOfBoundsIndex () {
    assertThrows (IndexOutOfBoundsException.class, () -> ArrayUtils.removeAll (new double [] {1, 2}, 2));
}",2,Compliant,0.9,,2,Compliant,0.85,,2,Compliant,0.8,,6,
systems/Projects/SolidLeaning/fitnesse/test/fitnesse/junit/JUnitRunNotifierResultsListenerTest.java:39-42,fitnesse,systems/Projects/SolidLeaning/fitnesse/test/fitnesse/junit/JUnitRunNotifierResultsListenerTest.java,39,42,4,setUp,"public void setUp () {
    description = Description.createTestDescription (""myTest"", ""bla"");
    when (descriptionFactory.createDescription (eq (getClass ()), any (TestPage.class))).thenReturn (description);
}",2,Compliant,0.78,,2,Compliant,0.72,,1,Partial,0.55,"The created type (Description) and mocking calls may be acceptable in test code, but method-level structure shows direct coupling to concrete/framework APIs.",5,
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/sql/results/graph/instantiation/internal/DynamicInstantiationAssemblerInjectionImpl.java:34-53,hibernate-orm,systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/sql/results/graph/instantiation/internal/DynamicInstantiationAssemblerInjectionImpl.java,34,53,20,DynamicInstantiationAssemblerInjectionImpl,"public DynamicInstantiationAssemblerInjectionImpl (JavaType < T > target, List < ArgumentReader < ? > > argumentReaders) {
    this.target = target;
    final Class < ? > targetJavaType = target.getJavaTypeClass ();
    final List < BeanInjection > beanInjections = new ArrayList < > (argumentReaders.size ());
    BeanInfoHelper.visitBeanInfo (targetJavaType, beanInfo -> {
        for (ArgumentReader < ? > argumentReader : argumentReaders) {
            beanInjections.add (injection (beanInfo, argumentReader, targetJavaType));
        }
    });
    if (argumentReaders.size () != beanInjections.size ()) {
        throw new IllegalStateException (""The number of readers did not match the number of injections"");
    }
    this.beanInjections = beanInjections;
}",1,Partial,0.55,Constructor mixes object initialization with reflective/bean-introspection-driven assembly and an invariant check; whether this is a single cohesive responsibility depends on class-level design.,2,Compliant,0.75,Method structure suggests extension points are in delegated methods/collaborators rather than encoded as local branching.,2,Compliant,0.7,"The only 'new' is a standard collection; other dependencies are referenced, not constructed here.",5,needs_more_context
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/JsonValueSerializer.java:294-332,jackson-databind,systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/JsonValueSerializer.java,294,332,39,serializeWithType,"public void serializeWithType (Object bean, JsonGenerator gen, SerializerProvider ctxt, TypeSerializer typeSer0) throws IOException {
    Object value;
    try {
        value = _accessor.getValue (bean);
    } catch (Exception e) {
        value = null;
        wrapAndThrow (ctxt, e, bean, _accessor.getName () + ""()"");
    }
    if (value == null) {
        ctxt.defaultSerializeNull (gen);
        return;
    }
    JsonSerializer < Object > ser = _valueSerializer;
    if (ser == null) {
        ser = _findDynamicSerializer (ctxt, value.getClass ());
    }
    else {
        if (_forceTypeInformation) {
            WritableTypeId typeIdDef = typeSer0.writeTypePrefix (gen, typeSer0.typeId (bean, JsonToken.VALUE_STRING));
            ser.serialize (value, gen, ctxt);
            typeSer0.writeTypeSuffix (gen, typeIdDef);
            return;
        }
    }
    TypeSerializerRerouter rr = new TypeSerializerRerouter (typeSer0, bean);
    ser.serializeWithType (value, gen, ctxt, rr);
}",2,Compliant,0.72,,2,Compliant,0.7,,1,Partial,0.55,needs_more_context: cannot determine if TypeSerializerRerouter is a simple local helper/value wrapper (acceptable) or a replaceable collaborator whose construction should be inverted.,5,needs_more_context
systems/Projects/jmeter-master/src/functions/src/test/java/org/apache/jmeter/functions/TestTimeShiftFunction.java:105-112,jmeter,systems/Projects/jmeter-master/src/functions/src/test/java/org/apache/jmeter/functions/TestTimeShiftFunction.java,105,112,8,testNowPlusOneDay,"void testNowPlusOneDay () throws Exception {
    Collection < CompoundVariable > params = makeParams (""yyyy-MM-dd"", """", ""P1d"", """");
    function.setParameters (params);
    value = function.execute (result, null);
    LocalDate tomorrow = LocalDate.now (ZoneId.systemDefault ()).plusDays (1);
    LocalDate tomorrowFromFunction = LocalDate.parse (value);
    assertThat (tomorrowFromFunction, sameDay (tomorrow));
}",2,Compliant,0.78,,2,Compliant,0.7,,2,Compliant,0.74,,6,
systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/BeanSerializerBase.java:746-778,jackson-databind,systems/Projects/jackson-databind-2.19/src/main/java/com/fasterxml/jackson/databind/ser/std/BeanSerializerBase.java,746,778,33,serializeFields,"protected void serializeFields (Object bean, JsonGenerator gen, SerializerProvider provider) throws IOException {
    final BeanPropertyWriter [] props;
    if (_filteredProps != null && provider.getActiveView () != null) {
        props = _filteredProps;
    }
    else {
        props = _props;
    }
    int i = 0;
    try {
        for (final int len = props.length; i < len; ++ i) {
            BeanPropertyWriter prop = props [i];
            if (prop != null) {
                prop.serializeAsField (bean, gen, provider);
            }
        }
    } catch (Exception e) {
        String name = (i == props.length) ? ""[anySetter]"" : props [i].getName ();
        wrapAndThrow (provider, e, bean, name);
    } catch (StackOverflowError e) {
        DatabindException mapE = new JsonMappingException (gen, ""Infinite recursion (StackOverflowError)"", e);
        String name = (i == props.length) ? ""[anySetter]"" : props [i].getName ();
        mapE.prependPath (bean, name);
        throw mapE;
    }
}",2,Compliant,0.72,,2,Compliant,0.7,,1,Partial,0.55,needs_more_context,5,needs_more_context
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/XWorkTestCase.java:108-110,struts,systems/Projects/struts-main/core/src/main/java/org/apache/struts2/XWorkTestCase.java,108,110,3,type,"public Class < T > type () {
    return (Class < T >) impl.getClass ();
}",2,Compliant,0.78,,2,Compliant,0.74,,1,Partial,0.45,needs_more_context: cannot determine whether 'impl' is an abstraction/injected dependency or a concrete collaborator.,5,needs_more_context
systems/Projects/junit5-main/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/MavenStarterTests.java:83-96,junit5,systems/Projects/junit5-main/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/MavenStarterTests.java,83,96,14,runMaven,"private ProcessResult runMaven (OutputFiles outputFiles, String...extraArgs) throws InterruptedException {
    var result = ProcessStarters.maven (Helper.getJavaHome (8).orElseThrow (TestAbortedException :: new)).workingDir (workspace).addArguments (localMavenRepo.toCliArgument (), ""-Dmaven.repo="" + MavenRepo.dir ()).addArguments (""-Dsnapshot.repo.url="" + mavenRepoProxy.getBaseUri ()).addArguments (""--update-snapshots"", ""--batch-mode"").addArguments (extraArgs).redirectOutput (outputFiles).startAndWait ();
    assertEquals (0, result.exitCode ());
    assertEquals ("""", result.stdErr ());
    assertThat (result.stdOutLines ()).contains (""[INFO] BUILD SUCCESS"");
    return result;
}",0,Violated,0.75,"Method mixes process orchestration with test assertions/validation, indicating more than one responsibility at method level.",1,Partial,0.55,"No variant-encoding branching, but several hard-coded flags/expected strings suggest future changes may require modifying this method. needs_more_context",1,Partial,0.6,"Method depends on concrete/static collaborators (process starter, environment helper, repo locator). Without class context, cannot tell if these are intentionally fixed test utilities or replaceable abstractions. needs_more_context",2,needs_more_context
systems/Projects/junit5-main/junit-platform-commons/src/main/java9/org/junit/platform/commons/util/ModuleUtils.java:243-247,junit5,systems/Projects/junit5-main/junit-platform-commons/src/main/java9/org/junit/platform/commons/util/ModuleUtils.java,243,247,5,className,"private String className (String resourceName) {
    resourceName = resourceName.substring (0, resourceName.length () - 6);
    resourceName = resourceName.replace ('/', '.');
    return resourceName;
}",2,Compliant,0.9,,1,Partial,0.55,"No branching, but the embedded constant and direct transformation logic could require editing this method if the transformation rules change.",2,Compliant,0.95,,5,
systems/Projects/jmeter-master/src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/gui/HTTPArgumentsPanel.java:123-133,jmeter,systems/Projects/jmeter-master/src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/gui/HTTPArgumentsPanel.java,123,133,11,getUnclonedParameters,"private Arguments getUnclonedParameters () {
    stopTableEditing ();
    @SuppressWarnings (""unchecked"")
    Iterator < HTTPArgument > modelData = (Iterator < HTTPArgument >) tableModel.iterator ();
    Arguments args = new Arguments ();
    while (modelData.hasNext ()) {
        HTTPArgument arg = modelData.next ();
        args.addArgument (arg);
    }
    return args;
}",2,Compliant,0.78,,2,Compliant,0.72,,1,Partial,0.55,needs_more_context,5,needs_more_context
systems/Projects/struts-main/plugins/convention/src/test/java/org/apache/struts2/convention/actions/interceptor/InterceptorsAction.java:46-48,struts,systems/Projects/struts-main/plugins/convention/src/test/java/org/apache/struts2/convention/actions/interceptor/InterceptorsAction.java,46,48,3,run4,"public String run4 () {
    return null;
}",2,Compliant,0.7,,2,Compliant,0.75,,2,Compliant,0.8,,6,
systems/Projects/selenium-trunk/java/src/org/openqa/selenium/grid/node/httpd/NodeServer.java:205-254,selenium,systems/Projects/selenium-trunk/java/src/org/openqa/selenium/grid/node/httpd/NodeServer.java,205,254,50,start,"public NettyServer start () {
    super.start ();
    RetryPolicy < Object > registrationPolicy = RetryPolicy.builder ().withMaxAttempts (- 1).withMaxDuration (nodeOptions.getRegisterPeriod ()).withDelay (nodeOptions.getRegisterCycle ()).handleResultIf (result -> true).onFailure (event -> {
        LOG.severe (String.format (""Registration event failed after period of %s seconds. Node will not"" + "" attempt to register again"", nodeOptions.getRegisterPeriod ().getSeconds ()));
        if (nodeOptions.getRegisterShutdownOnFailure ()) {
            LOG.severe (""Shutting down"");
            System.exit (1);
        }
    }).build ();
    LOG.info (""Starting registration process for Node "" + node.getUri ());
    ExecutorService executor = Executors.newSingleThreadExecutor ();
    executor.submit (() -> {
        Failsafe.with (registrationPolicy).run (() -> {
            if (node.isRegistered ()) {
                throw new InterruptedException (""Stopping registration thread."");
            }
            HealthCheck.Result check = node.getHealthCheck ().check ();
            if (DOWN.equals (check.getAvailability ())) {
                LOG.severe (""Node is not alive: "" + check.getMessage ());
                throw new UnsupportedOperationException (""Node cannot be registered"");
            }
            bus.fire (new NodeStatusEvent (node.getStatus ()));
            LOG.info (""Sending registration event..."");
        });
    });
    executor.shutdown ();
    return this;
}",0,Violated,0.75,"Method mixes policy construction, concurrency management, and registration/health-check workflow with side effects (logging, event firing, process exit).",1,Partial,0.55,"Only a couple of branches, but the method hard-codes retry/termination behavior and health-check gating; extensibility intent is unclear at method level.",0,Violated,0.8,"Method introduces hard-wired concrete dependencies (threading, process exit, static library access) that are not easily replaceable via abstraction.",1,needs_more_context
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/components/Bean.java:112-114,struts,systems/Projects/struts-main/core/src/main/java/org/apache/struts2/components/Bean.java,112,114,3,setReflectionProvider,"public void setReflectionProvider (ReflectionProvider prov) {
    this.reflectionProvider = prov;
}",2,Compliant,0.9,,2,Compliant,0.85,,2,Compliant,0.85,,6,
